,n_estimates,max_d,min_samples_split,mins_samples_leaf,TN,FN,FP,TP,roc_auc
139,300,9,5,5,20933,1316,9444,1945,0.64277484951781
140,300,9,6,1,21178,1368,9199,1893,0.6388344913910591
141,300,9,6,2,21062,1349,9315,1912,0.6398383688929581
142,300,9,6,3,21035,1340,9342,1921,0.6407738985126267
143,300,9,6,4,20887,1313,9490,1948,0.6424776793260715
144,300,9,6,5,20771,1306,9606,1955,0.6416416304250268
145,300,9,7,1,21116,1351,9261,1910,0.6404205448575464
146,300,9,7,2,21176,1352,9201,1909,0.6412548069518331
147,300,9,7,3,21112,1353,9265,1908,0.6400480511707536
148,300,9,7,4,21100,1348,9277,1913,0.6406171693130738
149,300,9,7,5,20916,1316,9461,1945,0.6424950325510259
150,300,10,2,1,22074,1476,8303,1785,0.6370231538962428
151,300,10,2,2,21968,1431,8409,1830,0.6421781368202757
152,300,10,2,3,22028,1462,8349,1799,0.6384125829072026
153,300,10,2,4,21794,1435,8583,1826,0.6387008190651514
154,300,10,2,5,21541,1389,8836,1872,0.6415895354178262
155,300,10,3,1,22134,1488,8243,1773,0.6361708167878308
156,300,10,3,2,22143,1491,8234,1770,0.6358589735812747
157,300,10,3,3,21619,1405,8758,1856,0.6404201662967927
158,300,10,3,4,21679,1420,8698,1841,0.6391078475876448
159,300,10,3,5,21618,1392,8759,1869,0.6423969600784063
160,300,10,4,1,22119,1477,8258,1784,0.6376105186668963
161,300,10,4,2,22116,1476,8261,1785,0.637714466402415
162,300,10,4,3,21873,1416,8504,1845,0.6429143617742796
163,300,10,4,4,21792,1403,8585,1858,0.6435743698298506
164,300,10,4,5,21712,1427,8665,1834,0.6385777312979202
165,300,10,5,1,22332,1505,8045,1756,0.6368232990556161
166,300,10,5,2,21920,1457,8457,1804,0.6374015581782715
167,300,10,5,3,21807,1435,8570,1826,0.6389147967456332
168,300,10,5,4,21726,1430,8651,1831,0.6383481871992417
169,300,10,5,5,21644,1409,8733,1852,0.6402183530351997
170,300,10,6,1,21854,1454,8523,1807,0.6367751915550223
171,300,10,6,2,21836,1430,8541,1831,0.6401587675725505
172,300,10,6,3,21784,1436,8593,1825,0.6383828936491508
173,300,10,6,4,21657,1413,8720,1848,0.6398190219147003
174,300,10,6,5,21643,1400,8734,1861,0.6415818380158321
175,300,10,7,1,22001,1456,8376,1805,0.6388881309261351
176,300,10,7,2,21848,1450,8529,1811,0.6372897414265504
177,300,10,7,3,21814,1421,8563,1840,0.6411765963000966
178,300,10,7,4,21597,1408,8780,1853,0.6395980686213949
179,300,10,7,5,21629,1407,8748,1854,0.6402781101120573
180,300,11,2,1,23072,1598,7305,1663,0.6347441373986963
181,300,11,2,2,22774,1571,7603,1690,0.6339789449758108
182,300,11,2,3,22648,1530,7729,1731,0.6381914226673517
183,300,11,2,4,22556,1534,7821,1727,0.6360638102814213
184,300,11,2,5,22277,1469,8100,1792,0.6414377880777934
185,300,11,3,1,23062,1594,7315,1667,0.6351928479839223
186,300,11,3,2,22777,1552,7600,1709,0.6369415412451985
187,300,11,3,3,22621,1531,7756,1730,0.6375936802845671
188,300,11,3,4,22368,1497,8009,1764,0.6386424702342979
189,300,11,3,5,22373,1486,8004,1775,0.6404113685448741
190,300,11,4,1,22983,1598,7394,1663,0.6332792132784737
191,300,11,4,2,22646,1531,7731,1730,0.6380051758239553
192,300,11,4,3,22607,1534,7770,1727,0.6369032611817737
193,300,11,4,4,22505,1517,7872,1744,0.6378309217852396
194,300,11,4,5,22182,1485,8195,1776,0.6374208698241923
195,300,11,5,1,23002,1613,7375,1648,0.631292041884729
196,300,11,5,2,22804,1588,7573,1673,0.6318661772189064
197,300,11,5,3,22563,1536,7814,1725,0.6358723746319594
198,300,11,5,4,22507,1514,7870,1747,0.6383238230291266
199,300,11,5,5,22423,1495,7954,1766,0.6398544148214429
200,300,11,6,1,22913,1588,7464,1673,0.6336602977706396
201,300,11,6,2,22601,1530,7776,1731,0.6374178110533016
202,300,11,6,3,22635,1550,7742,1711,0.6349109009819633
203,300,11,6,4,22349,1495,8028,1766,0.6386363880248533
204,300,11,6,5,22289,1498,8088,1763,0.6371888171295854
205,300,11,7,1,22842,1578,7535,1683,0.6340249224412299
206,300,11,7,2,22675,1544,7702,1717,0.6364892570464568
207,300,11,7,3,22574,1515,7803,1746,0.639273303874442
208,300,11,7,4,22488,1509,7889,1752,0.6387777224204182
209,300,11,7,5,22472,1513,7905,1748,0.6379010564742282
210,300,12,2,1,23940,1729,6437,1532,0.6289453992941225
211,300,12,2,2,23776,1701,6601,1560,0.630539150162604
212,300,12,2,3,23586,1674,6791,1587,0.6315516184698763
213,300,12,2,4,23165,1607,7212,1654,0.6348949560030129
214,300,12,2,5,22991,1584,7386,1677,0.6355574726545127
215,300,12,3,1,24041,1742,6336,1519,0.6286145876700623
216,300,12,3,2,23650,1688,6727,1573,0.6304584662472759
217,300,12,3,3,23438,1650,6939,1611,0.6327954176825848
218,300,12,3,4,23177,1609,7200,1652,0.6347858194614288
219,300,12,3,5,23025,1583,7352,1678,0.636270433788326
220,300,12,4,1,23969,1723,6408,1538,0.630342697321285
221,300,12,4,2,23708,1679,6669,1582,0.6327930807008647
222,300,12,4,3,23461,1648,6916,1613,0.6334806479793128
223,300,12,4,4,23323,1639,7054,1622,0.6325891374040971
224,300,12,4,5,23009,1582,7368,1679,0.6361604038433628
225,300,12,5,1,23953,1725,6424,1536,0.6297726857755856
226,300,12,5,2,23597,1668,6780,1593,0.632652639708679
227,300,12,5,3,23441,1643,6936,1618,0.6339180875490288
228,300,12,5,4,23186,1617,7191,1644,0.633707340253646
229,300,12,5,5,23034,1568,7343,1693,0.6387184801861857
230,300,12,6,1,23892,1735,6485,1526,0.6272353646570248
231,300,12,6,2,23582,1678,6795,1583,0.6308724703825928
232,300,12,6,3,23416,1629,6961,1632,0.635653172813075
233,300,12,6,4,23230,1611,7147,1650,0.6353515356044416
234,300,12,6,5,23065,1581,7312,1680,0.6372354810518381
235,300,12,7,1,23752,1696,6625,1565,0.6309107504460177
236,300,12,7,2,23700,1706,6677,1555,0.6285215677216367
237,300,12,7,3,23404,1650,6973,1611,0.6322357837490167
238,300,12,7,4,23226,1617,7151,1644,0.6343657331166673
239,300,12,7,5,23153,1605,7224,1656,0.6350040925445972
240,400,5,2,1,19418,1241,10959,2020,0.6293377598492751
241,400,5,2,2,19390,1217,10987,2044,0.6325567376510478
242,400,5,2,3,19019,1196,11358,2065,0.6296700150516765
243,400,5,2,4,19316,1207,11061,2054,0.6328719828569116
244,400,5,2,5,19466,1224,10911,2037,0.6327343936890713
245,400,5,3,1,19208,1189,11169,2072,0.6338542117311697
246,400,5,3,2,19351,1216,11026,2045,0.6320681318098474
247,400,5,3,3,19338,1203,11039,2058,0.6338474077325547
248,400,5,3,4,19301,1212,11076,2049,0.631858449532052
249,400,5,3,5,19190,1200,11187,2061,0.6318713357401116
250,400,5,4,1,19284,1209,11093,2052,0.6320386141660038
251,400,5,4,2,19340,1207,11037,2054,0.6332670185747243
252,400,5,4,3,19295,1210,11082,2051,0.6320663450030894
253,400,5,4,4,19252,1206,11125,2055,0.6319718814763228
254,400,5,4,5,19264,1207,11113,2054,0.6320160721349839
255,400,5,5,1,19265,1203,11112,2058,0.6326458407575406
256,400,5,5,2,19053,1176,11324,2085,0.6332961929901512
257,400,5,5,3,19383,1211,10994,2050,0.6333614821014911
258,400,5,5,4,19335,1207,11042,2054,0.6331847194668467
259,400,5,5,5,19152,1188,11225,2073,0.6330857889231852
260,400,5,6,1,19225,1216,11152,2045,0.6299941942913301
261,400,5,6,2,19160,1192,11217,2069,0.632604158694808
262,400,5,6,3,19452,1211,10925,2050,0.634497209790203
263,400,5,6,4,19245,1187,11132,2074,0.6347698795299551
264,400,5,6,5,19522,1219,10855,2042,0.6344227796985277
265,400,5,7,1,19563,1239,10814,2022,0.6320310883782182
266,400,5,7,2,19071,1192,11306,2069,0.6311392345745855
267,400,5,7,3,18994,1169,11383,2092,0.6333983539189119
268,400,5,7,4,19233,1196,11144,2065,0.6331924168688409
